[모집] 효민생활관 지도교사(부사감) 모집,https://dap.deu.ac.kr/StdNotice02.aspx?NoticeMst=003&NoticeNo=32&KeyField=T&KeyWord=&PageNo=1,2022-11-17
2022-2학기 효민생활관/행복기숙사 관생 모집,https://dap.deu.ac.kr/StdNotice02.aspx?NoticeMst=003&NoticeNo=31&KeyField=T&KeyWord=&PageNo=1,2022-07-13
2022-1학기 효민생활관 / 행복기숙사 관생 모집,https://dap.deu.ac.kr/StdNotice02.aspx?NoticeMst=003&NoticeNo=30&KeyField=T&KeyWord=&PageNo=1,2021-12-21
[모집]2018-2학기 효민생활관 지도교사(부사감) 모집 안내,https://dap.deu.ac.kr/StdNotice02.aspx?NoticeMst=003&NoticeNo=74703&KeyField=T&KeyWord=&PageNo=1,2018-07-27
[모집]2018학년도 2학기 효민생활관/행복기숙사 관생 모집안내,https://dap.deu.ac.kr/StdNotice02.aspx?NoticeMst=003&NoticeNo=74605&KeyField=T&KeyWord=&PageNo=1,2018-07-11
[모집]2018학년도 1학기 효민생활관/행복기숙사 모집안내(통합),https://dap.deu.ac.kr/StdNotice02.aspx?NoticeMst=003&NoticeNo=72799&KeyField=T&KeyWord=&PageNo=1,2017-12-13
