[LINC 3.0] 팀 리더십 캠프(응용)
[혁신공유대학] 디지털 신기술 미래 디자인 캠프
성장주기별 취업준비 프로그램
2022학년도 동계 외국어 특강 프로그램
2022-2 DEU 학습법 특강(4차)-1강 노트필기 전략
2022-2 DEU 학습법 특강(4차)-2강 대학생의 성공적인 시험관리전략
2022-2 DEU 학습법 특강(4차)-3강 메타인지를 활용한 대학학습법
2022-2 DEU 학습법 특강(4차)-4강 분석적 사고력 향상 전략
2022-2 DEU 학습법 특강(4차)-5강 비판적 사고력 향상 전략
2022학년도 DEU 학습컨설팅(개별)-5차
2022학년도 함께 성장 프로젝트-4차
2022학년도 창업동아리
2022학년도 DEU 학습심리검사-6차
통합 성과경진대회
2022-2학기 전공 Buff 프로그램_실기 시험에 필요한 알고리즘의 이해(e비즈니스학)
[대학혁신사업] 2022학년도 2학기 기초학력증진클리닉(글쓰기)
[대학혁신사업] 2022학년도 2학기 기초학력증진클리닉(수학)
